host,count,mean,std,min,5%,10%,25%,50%,75%,90%,95%,96%,97%,98%,99%,max
europe,3352.0,41115.40095465394,182515.584774994,63.0,936.0,1496.4,3600.0,9628.0,26605.0,73054.90000000001,136535.55,158936.0000000001,199893.99999999997,259327.08000000002,509280.72999999765,4511823.0
foundation,44255.0,70872.65933792792,423680.7313027907,1.0,2000.0,3500.0,7562.0,26622.0,50000.0,100000.0,157500.0,200000.0,278243.1999999983,444558.0399999961,714933.0399999999,39042110.0
opensource,17067.0,110620.25880353899,319777.6116294353,1.0,784.9000000000002,1281.6000000000001,4127.0,15662.0,76425.0,271924.99999999994,559972.7,641348.1599999982,750061.0000000013,1000000.0,1323591.460000001,9000000.0
